url,name,rating_star,rating_nb_reviews,price,review_url_src,review_stars,review_title,review_thoughts,review_author,review_date,review_verified,review_tup,review_tdown,review_collected_date,predicted_sentiment,sentiment_category,keywords
https://www.dermstore.com/obagi-medical-c-fx-c-clarifying-serum/11288929.html,Obagi Medical Obagi-C Fx System C-Clarifying Serum (1 oz.),4.5,40,$135.00,,,,,,,,,,,,,
https://www.dermstore.com/obagi-medical-hydrate-facial-moisturizer/11291537.html,Obagi Medical Hydrate Facial Moisturizer (1.7 oz.),4.8,362,$58.00,,,,,,,,,,,,,
https://www.dermstore.com/obagi-medical-nu-derm-clear-fx/11288915.html,Obagi Medical Nu-Derm Clear Fx (2 oz.),4.6,149,$113.00,,,,,,,,,,,,,
https://www.dermstore.com/skinceuticals-c-e-ferulic-with-15-l-ascorbic-acid-vitamin-c-serum-30ml/11289609.html,SkinCeuticals C E Ferulic,4.7,5362,$182.00,,,,,,,,,,,,,
https://www.dermstore.com/skinmedica-tns-advanced-serum-28.4g/12596429.html,SkinMedica TNS Advanced+ Serum,4.3,473,$295.00,,,,,,,,,,,,,
https://www.dermstore.com/eltamd-uv-clear-spf46-broad-spectrum-duo/12538013.html,EltaMD Exclusive UV Clear SPF 46 Broad-Spectrum Duo,4.8,5131,$73.00,,,,,,,,,,,,,
https://www.dermstore.com/skinceuticals-triple-lipid-restore-2-4-2/11290635.html,SkinCeuticals Triple Lipid Restore 242,4.8,2061,$155.00,,,,,,,,,,,,,
https://www.dermstore.com/skinmedica-ha5-hydra-collagen-replenish-and-restore-hydrator-60ml/15449378.html,SkinMedica HA5 Hydra Collagen Replenish and Restore Hydrator 60ml,3.0,1,$192.00,,,,,,,,,,,,,
https://www.dermstore.com/neocutis-lumiere-firm-riche-extra-moisturizing-illuminating-and-tightening-eye-cream-15ml/12664555.html,Neocutis LUMIÈRE FIRM RICHE Extra Moisturizing Illuminating & Tightening Eye Cream,4.7,156,$125.00,,,,,,,,,,,,,
https://www.dermstore.com/skinceuticals-p-tiox-serum-30ml/15386550.html,SkinCeuticals P-TIOX Anti-Wrinkle Peptide Serum,4.7,924,$148.00,,,,,,,,,,,,,
https://www.dermstore.com/obagi-medical-professional-c-serum-20-strength/11291543.html,Obagi Medical Professional-C Serum 20% (1 oz.),4.7,997,$142.00,,,,,,,,,,,,,
https://www.dermstore.com/is-clinical-cleansing-complex/11291496.html,iS Clinical Cleansing Complex (6 oz.),4.8,1015,$48.00,,,,,,,,,,,,,
https://www.dermstore.com/skinceuticals-h.a.-intensifier-multi-glycan/15464525.html,SkinCeuticals H.A. Intensifier Multi-Glycan,4.7,495,$120.00,,,,,,,,,,,,,
https://www.dermstore.com/skinmedica-ha5-rejuvenating-hydrator/11290631.html,SkinMedica HA5 Rejuvenating Hydrator,4.7,786,$184.00,,,,,,,,,,,,,
https://www.dermstore.com/best-of-dermstore-anniversary-edit-2024/15061276.html,Best of Dermstore: The 25th Anniversary Edit - $826 Value,4.9,7,$175.00,,,,,,,,,,,,,
https://www.dermstore.com/eltamd-uv-clear-tinted-broad-spectrum-spf46/11370312.html,EltaMD UV Clear Broad-Spectrum SPF 46 - Tinted,4.7,1528,$45.00,,,,,,,,,,,,,
https://www.dermstore.com/rescuemd-dna-repair-complex-pro-120ml/15483002.html,RescueMD DNA Repair Complex PRO 120ml,5.0,1,$388.00,,,,,,,,,,,,,
https://www.dermstore.com/skinceuticals-hyaluronic-acid-intensifier-hydrating-serum-30ml/11395385.html,SkinCeuticals Hyaluronic Acid Intensifier,4.7,1246,$110.00,,,,,,,,,,,,,
https://www.dermstore.com/replenix-soothing-antioxidant-mist-2.7-oz/13046272.html,Replenix Soothing Antioxidant Mist 2.7 oz,0.0,No,$17.60,,,,,,,,,,,,,
https://www.dermstore.com/augustinus-bader-the-rich-cream-50ml/13315093.html,Augustinus Bader The Rich Cream 50ml,4.1,44,$300.00,,,,,,,,,,,,,
https://www.dermstore.com/dr.-whitney-bowe-beauty-asta-c-vitamin-c-age-defense-serum-30ml/15227430.html,Dr. Whitney Bowe Beauty Asta C Vitamin C Age Defense Serum (1 fl oz),4.5,82,$88.00,,,,,,,,,,,,,
