"review_url_src";"review_stars";"review_title";"review_thoughts";"review_author";"review_date";"review_verified";"review_tup";"review_tdown";"review_collected_date";"predicted_sentiment";"sentiment_category";"keywords"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Love!";"This is my absolute favorite tinted SPF. I have combination and acne prone skin, and this has not made my skin reactive at all. Will continue to purchase.";"Kristi";"6/27/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.999468982219696, 'elapsed_time': 0.2660984992980957}";"POSITIVE";"['absolute favorite tinted spf', 'acne prone skin', 'skin reactive', 'purchase', 'made', 'continue', 'combination']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Versatile sunscreen/moisturizer";"This sunscreen goes onto the face nicely and blends in to your skin shade, gives you a “glow” to your skin! Sometimes I use only this for my makeup as the tint brings out my natural face color with a little more smoothness to my skin!  I love this sunscreen!!";"WENDY";"6/12/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9991251826286316, 'elapsed_time': 0.16811919212341309}";"POSITIVE";"['“ glow ”', 'natural face color', 'sunscreen goes onto', 'face nicely', 'tint brings', 'skin shade', 'sunscreen', 'skin', 'skin', 'use', 'sometimes', 'smoothness', 'makeup', 'love', 'little', 'gives', 'blends']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Great sun screen";"Great natural product looks great on and I’m protected!";"Linda";"6/6/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.997960090637207, 'elapsed_time': 0.15584111213684082}";"POSITIVE";"['great natural product looks great', '’', 'protected']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Great!";"I love using this on the weekends when I don’t wear makeup. This keeps my skin safe but also has a bit of a tint to make me look like I’m wearing a bit of makeup.";"DENISE";"5/30/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9715326428413391, 'elapsed_time': 0.1635124683380127}";"POSITIVE";"['skin safe', 'love using', 'look like', 'wear makeup', 'makeup', '’', '’', 'weekends', 'wearing', 'tint', 'make', 'keeps', 'bit', 'bit', 'also']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Best face sunscreen";"I love the tinted sunscreen - doesn’t leave a white cast and doesn’t make me break out. And lasts a decent amount of time. Great!";"Kelsey";"5/3/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9937933683395386, 'elapsed_time': 0.15064263343811035}";"POSITIVE";"['white cast', 'tinted sunscreen', 'decent amount', '’', '’', 'time', 'make', 'love', 'leave', 'lasts', 'great', 'break']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Love it";"Was Looking for a sunscreen that wasn’t to greasy or to make me break out. Found this and decided to give it a go. I love it. Love the tinted sunscreen. Gives it the perfect amount of coverage, especially when you do not want to put makeup on. People have been complimenting my skin since I’ve started using it.  Only thing is that I wish I could tie/link with my Alle account.  So I will have to purchase from SkinMedica website directly.";"Evy";"3/11/23";"True";"1";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.986753523349762, 'elapsed_time': 0.1548306941986084}";"POSITIVE";"['skinmedica website directly', 'started using', 'skin since', 'put makeup', 'perfect amount', 'could tie', 'alle account', 'tinted sunscreen', 'sunscreen', '’', '’', 'wish', 'want', 'thing', 'purchase', 'people', 'make', 'love', 'love', 'looking', 'link', 'greasy', 'go', 'gives', 'give', 'found', 'especially', 'decided', 'coverage', 'complimenting', 'break']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Product Review";"This sunblock feels like and keeps my face moisturized. It doesn’t make my face feel oily. I loved it so much I made my mother and mother in-law try it and they loved it and bought it themselves! It works for all our age groups 37-75.";"K.Hill";"1/24/23";"True";"2";"1";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9996614456176758, 'elapsed_time': 0.16474628448486328}";"POSITIVE";"['sunblock feels like', 'age groups 37', 'face feel oily', 'face moisturized', 'law try', '’', 'works', 'much', 'mother', 'mother', 'make', 'made', 'loved', 'loved', 'keeps', 'bought', '75']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Can't live without";"Started using this product 5 years ago and wish I would have started sooner. I'm not a fan of thick heavy foundation so I use this instead. Gives me enough coverage without feeling too heavy and is protection from further sun damage.";"Stacy";"1/7/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9982243180274963, 'elapsed_time': 0.1652677059173584}";"POSITIVE";"['product 5 years ago', 'enough coverage without feeling', 'thick heavy foundation', 'sun damage', 'started using', 'started sooner', 'heavy', 'would', 'wish', 'use', 'protection', 'instead', 'gives', 'fan']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Recommend";"Really liking this! I’ve tried a few and think I’ll stick with this one";"Emily";"1/2/23";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9986276626586914, 'elapsed_time': 0.15781402587890625}";"POSITIVE";"['really liking', '’', '’', 'tried', 'think', 'stick', 'one']"
"https://www.dermstore.com/skinmedica-essential-defense-mineral-shield-broad-spectrum-spf-32-tinted/11290741.html";"5";"Skin Medica Sunscreen";"A must have!  I normally don’t like the smell and texture of sunscreen. This however has changed my mind. No greasy feeling or smell. Highly recommend!";"Lori";"12/2/22";"True";"0";"0";"2023-07-04";"{'label': 'POSITIVE', 'score': 0.9979572296142578, 'elapsed_time': 0.17727994918823242}";"POSITIVE";"['highly recommend', 'greasy feeling', '’', 'texture', 'sunscreen', 'smell', 'smell', 'normally', 'must', 'mind', 'like', 'however', 'changed']"
